Year,ITN_Coverage,ISO3
2016,71.3369914,GHA
2017,64.0377978,GHA
2018,79.0463948,GHA
2019,77.3790621,GHA
2020,64.0956632,GHA
2021,76.7644302,GHA
2022,79.2887985,GHA
2023,68.0065342,GHA
2024,73.990384,GHA
2000,0.0,LAO
2001,0.0,LAO
2002,0.0,LAO
2003,0.0,LAO
2004,0.0,LAO
2005,0.0,LAO
2006,0.0,LAO
2007,0.0,LAO
2008,0.0,LAO
2009,0.0,LAO
2010,0.0,LAO
2011,0.0,LAO
2012,0.0,LAO
2013,0.0,LAO
2014,0.0,LAO
2015,0.0,LAO
2016,0.0,LAO
2017,0.0,LAO
2018,0.0,LAO
2019,0.0,LAO
2020,0.0,LAO
2021,0.0,LAO
2022,0.0,LAO
2023,0.0,LAO
2024,0.0,LAO
2000,0.0,BGD
2001,0.0,BGD
2002,0.0,BGD
2003,0.0,BGD
2004,0.0,BGD
2005,0.0,BGD
2006,0.0,BGD
2007,0.0,BGD
2008,0.0,BGD
2009,0.0,BGD
2010,0.0,BGD
2011,0.0,BGD
2012,0.0,BGD
2013,0.0,BGD
2014,0.0,BGD
2015,0.0,BGD
2016,0.0,BGD
2017,0.0,BGD
2018,0.0,BGD
2019,0.0,BGD
2020,0.0,BGD
2021,0.0,BGD
2022,0.0,BGD
2023,0.0,BGD
2024,0.0,BGD
2000,0.0,SSD
2001,1.2557066066666667,SSD
2002,2.5114132133333333,SSD
2003,3.76711982,SSD
2004,5.022826426666667,SSD
2005,6.278533033333334,SSD
2006,7.53423964,SSD
2007,8.789946246666666,SSD
2008,10.045652853333333,SSD
2009,11.30135946,SSD
2010,12.557066066666668,SSD
2011,13.812772673333333,SSD
2012,15.06847928,SSD
2013,16.324185886666665,SSD
2014,17.579892493333332,SSD
2015,18.8355991,SSD
2016,50.6740878,SSD
2017,59.0212745,SSD
2018,46.3885894,SSD
2019,40.1267956,SSD
2020,64.9418656,SSD
2021,67.2315386,SSD
2022,53.755979,SSD
2023,75.0860093,SSD
2024,65.3613846,SSD
2000,0.0,VNM
2001,0.0,VNM
2002,0.0,VNM
2003,0.0,VNM
2004,0.0,VNM
2005,0.0,VNM
2006,0.0,VNM
2007,0.0,VNM
2008,0.0,VNM
2009,0.0,VNM
2010,0.0,VNM
2011,0.0,VNM
2012,0.0,VNM
2013,0.0,VNM
2014,0.0,VNM
2015,0.0,VNM
2016,0.0,VNM
2017,0.0,VNM
2018,0.0,VNM
2019,0.0,VNM
2020,0.0,VNM
2021,0.0,VNM
2022,0.0,VNM
2023,0.0,VNM
2024,0.0,VNM
2000,0.0,NAM
2001,0.0,NAM
2002,0.0,NAM
2003,0.0,NAM
2004,0.0,NAM
2005,0.0,NAM
2006,0.0,NAM
2007,0.0,NAM
2008,0.0,NAM
2009,0.0,NAM
2010,0.0,NAM
2011,0.0,NAM
2012,0.0,NAM
2013,0.0,NAM
2014,0.0,NAM
2015,0.0,NAM
2016,0.0,NAM
2017,0.0,NAM
2018,0.0,NAM
2019,0.0,NAM
2020,0.0,NAM
2021,0.0,NAM
2022,0.0,NAM
2023,0.0,NAM
2024,0.0,NAM
2000,0.0,DZA
2001,0.0,DZA
2002,0.0,DZA
2003,0.0,DZA
2004,0.0,DZA
2005,0.0,DZA
2006,0.0,DZA
2007,0.0,DZA
2008,0.0,DZA
2009,0.0,DZA
2010,0.0,DZA
2011,0.0,DZA
2012,0.0,DZA
2013,0.0,DZA
2014,0.0,DZA
2015,0.0,DZA
2016,0.0,DZA
2017,0.0,DZA
2018,0.0,DZA
2019,0.0,DZA
2020,0.0,DZA
2021,0.0,DZA
2022,0.0,DZA
2023,0.0,DZA
2024,0.0,DZA
2000,0.0,ECU
2001,0.0,ECU
2002,0.0,ECU
2003,0.0,ECU
2004,0.0,ECU
2005,0.0,ECU
2006,0.0,ECU
2007,0.0,ECU
2008,0.0,ECU
2009,0.0,ECU
2010,0.0,ECU
2011,0.0,ECU
2012,0.0,ECU
2013,0.0,ECU
2014,0.0,ECU
2015,0.0,ECU
2016,0.0,ECU
2017,0.0,ECU
2018,0.0,ECU
2019,0.0,ECU
2020,0.0,ECU
2021,0.0,ECU
2022,0.0,ECU
2023,0.0,ECU
2024,0.0,ECU
2000,0.0,GUY
2001,0.0,GUY
2002,0.0,GUY
2003,0.0,GUY
2004,0.0,GUY
2005,0.0,GUY
2006,0.0,GUY
2007,0.0,GUY
2008,0.0,GUY
2009,0.0,GUY
2010,0.0,GUY
2011,0.0,GUY
2012,0.0,GUY
2013,0.0,GUY
2014,0.0,GUY
2015,0.0,GUY
2016,0.0,GUY
2017,0.0,GUY
2018,0.0,GUY
2019,0.0,GUY
2020,0.0,GUY
2021,0.0,GUY
2022,0.0,GUY
2023,0.0,GUY
2024,0.0,GUY
2000,0.0,KHM
2001,0.0,KHM
2002,0.0,KHM
2003,0.0,KHM
2004,0.0,KHM
2005,0.0,KHM
2006,0.0,KHM
2007,0.0,KHM
2008,0.0,KHM
2009,0.0,KHM
2010,0.0,KHM
2011,0.0,KHM
2012,0.0,KHM
2013,0.0,KHM
2014,0.0,KHM
2015,0.0,KHM
2016,0.0,KHM
2017,0.0,KHM
2018,0.0,KHM
2019,0.0,KHM
2020,0.0,KHM
2021,0.0,KHM
2022,0.0,KHM
2023,0.0,KHM
2024,0.0,KHM
2000,0.0,PRK
2001,0.0,PRK
2002,0.0,PRK
2003,0.0,PRK
2004,0.0,PRK
2005,0.0,PRK
2006,0.0,PRK
2007,0.0,PRK
2008,0.0,PRK
2009,0.0,PRK
2010,0.0,PRK
2011,0.0,PRK
2012,0.0,PRK
2013,0.0,PRK
2014,0.0,PRK
2015,0.0,PRK
2016,0.0,PRK
2017,0.0,PRK
2018,0.0,PRK
2019,0.0,PRK
2020,0.0,PRK
2021,0.0,PRK
2022,0.0,PRK
2023,0.0,PRK
2024,0.0,PRK
2000,0.0,CHN
2001,0.0,CHN
2002,0.0,CHN
2003,0.0,CHN
2004,0.0,CHN
2005,0.0,CHN
2006,0.0,CHN
2007,0.0,CHN
2008,0.0,CHN
2009,0.0,CHN
2010,0.0,CHN
2011,0.0,CHN
2012,0.0,CHN
2013,0.0,CHN
2014,0.0,CHN
2015,0.0,CHN
2016,0.0,CHN
2017,0.0,CHN
2018,0.0,CHN
2019,0.0,CHN
2020,0.0,CHN
2021,0.0,CHN
2022,0.0,CHN
2023,0.0,CHN
2024,0.0,CHN
2000,0.0,PRY
2001,0.0,PRY
2002,0.0,PRY
2003,0.0,PRY
2004,0.0,PRY
2005,0.0,PRY
2006,0.0,PRY
2007,0.0,PRY
2008,0.0,PRY
2009,0.0,PRY
2010,0.0,PRY
2011,0.0,PRY
2012,0.0,PRY
2013,0.0,PRY
2014,0.0,PRY
2015,0.0,PRY
2016,0.0,PRY
2017,0.0,PRY
2018,0.0,PRY
2019,0.0,PRY
2020,0.0,PRY
2021,0.0,PRY
2022,0.0,PRY
2023,0.0,PRY
2024,0.0,PRY
